Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Liverpool,13,10,2,1,28,10,18,32,2.46,26.4,10.9,15.5,1.19
2,Arsenal,13,8,4,1,27,11,16,28,2.15,22.8,8.5,14.3,1.1
3,Nott'ham Forest,13,7,4,2,22,10,12,25,1.92,17.8,12.6,5.2,0.4
4,Manchester City,13,8,2,3,28,17,11,26,2,26.2,15.4,10.9,0.84
5,Chelsea,13,7,4,2,26,15,11,25,1.92,27.4,15.2,12.3,0.94
6,Newcastle Utd,13,7,2,4,24,17,7,23,1.77,22.9,16.4,6.5,0.5
7,Bournemouth,13,6,3,4,17,10,7,21,1.62,23.6,15.7,7.9,0.6
8,Brighton,13,5,6,2,19,15,4,21,1.62,20.1,15.9,4.2,0.32
9,Fulham,14,5,5,4,20,21,-1,20,1.43,18.1,15.4,2.6,0.19
10,Aston Villa,15,7,7,1,25,18,7,28,1.87,26,14.7,11.3,0.75
11,Brentford,14,7,3,4,30,26,4,24,1.71,25.8,21.5,4.3,0.31
12,Crystal Palace,14,3,5,6,16,22,-6,14,1,22.4,16.7,5.7,0.41
13,Tottenham,14,5,2,7,28,24,4,17,1.21,24.8,24.9,-0.1,-0.01
14,Manchester Utd,14,6,1,7,20,24,-4,19,1.36,21.2,21.5,-0.4,-0.03
15,Everton,14,4,6,4,20,17,3,18,1.29,16.7,16.2,0.5,0.04
16,West Ham,13,4,2,7,16,27,-11,14,1.08,17.2,24.9,-7.8,-0.6
17,Wolves,13,3,1,9,17,26,-9,10,0.77,15.1,20.4,-5.3,-0.41
18,Ipswich Town,14,1,4,9,10,30,-20,7,0.5,13.8,24.1,-10.3,-0.73
19,Leicester City,14,2,3,9,11,27,-16,9,0.64,12.9,23.9,-11,-0.78
20,Southampton,13,1,1,11,9,37,-28,4,0.31,13.6,35.9,-22.3,-1.71
